Field,Unit,Type,Definition
asn,Integer,Dim.,Autonomous System Number uniquely identifying each network
asset_id,Text,Dim.,Asset ID of the video.
browser,Text,Dim.,"Browser used for the video view (Safari, Chrome, etc.)."
browser (viewer_application_name),Text,Dim.,Deprecated - see browser
browser_version,Version,Dim.,Browser version (e.g. 66.0.3359.158).
browser_version (viewer_application_version),Version,Dim.,Deprecated - see browser_version (viewer_application_version)
cdn,Text,Dim.,"CDN delivering the video view, either determined by response header auto-detection or provided as video_cdn."
city,Text,Dim.,City of the viewer.
continent_code,ISO Code,Dim.,"2-letter ISO code identifying the Continent of the viewer (e.g. NA, EU)."
country,ISO Code,Dim.,2-letter Country Code.
country (country_code),ISO Code,Dim.,Deprecated - see country
country_name,Text,Dim.,Country of the viewer.
custom_1,Text,Dim.,Customer-defined metadata.
custom_2,Text,Dim.,Customer-defined metadata.
custom_3,Text,Dim.,Customer-defined metadata.
custom_4,Text,Dim.,Customer-defined metadata.
custom_5,Text,Dim.,Customer-defined metadata.
custom_6,Text,Dim.,Customer-defined metadata.
custom_7,Text,Dim.,Customer-defined metadata.
custom_8,Text,Dim.,Customer-defined metadata.
custom_9,Text,Dim.,Customer-defined metadata.
custom_10,Text,Dim.,Customer-defined metadata.
environment_id,Unique ID,Dim.,"Environment ID, linked with a specific environment"
error_type,Unique ID,Dim.,Internal ID used to categorize errors.
error_type (error_type_id),Unique ID,Dim.,Deprecated - see error_type
exit_before_video_start,Boolean,Metric,Identifies when a viewer abandons the video because it is taking too long to load.
experiment_name,Text,Dim.,A/B Testing: use this field to separate views into different experiments.
isp,Text,Dim.,Unused
latitude,Degrees,Dim.,"Latitude of the viewer, truncated to 1 decimal place."
live_stream_id,Text,Dim.,Live Stream ID of the video.
live_stream_latency,Integer,Metric,Live Stream Latency measuring the average time from ingest to display for the view.
longitude,Degrees,Dim.,"Longitude of the viewer, truncated to one decimal place."
max_downscale_percentage,Percentage,Metric,Maximum Downscale Percentage at any point in time during a video view.
max_downscale_percentage (view_max_downscale_percentage),Percentage,Metric,Deprecated - see max_downscale_percentage
max_upscale_percentage,Percentage,Metric,Maximum Upscale Percentage at any point in time during a video view.
max_upscale_percentage (view_max_upscale_percentage),Percentage,Metric,Deprecated - see max_upscale_percentage
metro,Text,Dim.,Unused
api_version,Text,Dim.,Ignore
embed_version,Dim.,Dim.,Internal version of Core SDK. Ignore
viewer_id,Unique ID,Dim.,A Internal ID representing the viewer who is watching the stream.
operating_system,Text,Dim.,"Operating System (iOS, Windows, etc)."
operating_system (viewer_os_family),Text,Dim.,Deprecated - see operating_system
operating_system_version,Version,Dim.,Operating System version (e.g. 10.15).
operating_system_version (viewer_os_version),Version,Dim.,Deprecated - see operating_system_version
page_load_time,Milliseconds,Metric,Measures the time from the initial user request for a page to the time when the video player is first initialized
page_type,Text,Dim.,Provides the context of the page for more specific analysis. Values include watchpage or iframe.
page_url,URL,Dim.,Page URL
platform_description,Text,Dim.,Unused
playback_id,Text,Dim.,Playback ID of the video.
playback_success_score,Decimal,Dim.,Playback Success Score
player_autoplay,Boolean,Dim.,Indicates whether the player autoplayed the video or not
player_error_code,String,Dim.,"An error code that represents a fatal error (one resulting in playback failure). Often an integer, but implementation-dependent."
player_error_context,Text,Dim.,Error instance-specific information such as stack trace or segment number.
player_error_message,Text,Dim.,Message sent by the player when an error has been fired up (associated with an error code)
player_height,Integer,Dim.,"Height of the player as displayed in page, in pixels"
player_instance_id,Unique ID,Dim.,Identifies the instance of the Player class that is created when a video is initialized
player_language,Text,Dim.,Player's text language
player_load_time,Milliseconds,Metric,Deprecated - see player_startup_time)
player_plugin_name,Text,Dim.,Integration Plugin name (e.g. hls-player)
player_plugin_version,Version,Dim.,Integration Plugin version (e.g. 2.2.0)
player_name,Text,Dim.,Identifies different configurations or types of players around your site or application (e.g. My Player)
