asn,asset_id,browser,browser_version,cdn,city,continent_code,country,country_name,error_type,exit_before_video_start,experiment_name,isp,latitude,live_stream_id,live_stream_latency,longitude,max_downscale_percentage,max_upscale_percentage,viewer_id,operating_system,operating_system_version,page_load_time,page_type,page_url,playback_id,playback_success_score,player_autoplay,player_error_code,player_error_context,player_error_message,player_height,player_instance_id,player_language,player_load_time,player_plugin_name,player_plugin_version,player_name,player_poster,player_preload,player_remote_played,player_software,player_software_version,player_source_domain,player_source_duration,player_source_height,player_source_stream_type,player_source_url,player_source_width,player_startup_time,player_version,player_view_count,player_width,property_id,rebuffer_count,rebuffer_duration,rebuffer_frequency,rebuffer_percentage,region,session_id,smoothness_score,source_hostname,source_type,startup_time_score,stream_type,sub_property_id,time_to_first_frame,used_fullscreen,video_content_type,video_duration,video_encoding_variant,video_id,video_language,video_producer,video_quality_score,video_series,video_startup_time,video_startup_failure,video_title,video_variant_id,video_variant_name,view_downscaling_percentage,view_drm_type,view_dropped_frame_count,view_end,view_has_ad,view_id,view_max_playhead_position,view_playing_time,view_seek_count,view_seek_duration,view_session_id,view_start,view_total_content_playback_time,view_total_downscaling,view_total_upscaling,view_upscaling_percentage,viewer_application_engine,viewer_connection_type,viewer_device_category,viewer_device_manufacturer,viewer_device_model,viewer_device_name,viewer_experience_score,viewer_os_architecture,viewer_user_agent,viewer_user_id,watch_time,weighted_average_bitrate
5621,need,UC Browser,8.7.0,Amazon CloudFront,Sandraport,Undefined,Iran,Iran,a20f1d23-3bcc-4512-a40f-0893770b1a54,False,organization,right,-8.856157606532008,live,380,133.7219612886301,0.08931308818147976,0.11439584755301824,71b91dfb-865a-4e94-9444-caecc7f47b96,Windows 10,8.9.3,483886,increase,https://example.com/assets/a6e18e89-f430-45cb-af2a-920392f16c13,beca6137-8159-4f4a-8225-7f52fdaec574,100,True,Undefined,hit,to,3802,d70cdc1e-af54-4d01-97fd-d28e18d880d0,pull,595696,find,2.7.4,animal,https://mysite.net/media/4f7ed5f7-4f3e-456c-af15-fbee2ad66658,False,False,mouth,stop,anything,549261,6493,hour,https://mysite.net/media/a3070a66-3cdc-450c-a159-c73e45216879,6673,724563,once,8025,6555,ae12d271-162d-4db3-b587-da61024c4758,4071,791937,0.0,0.5314885948305355,write,fc7a9c61-146d-46d1-801c-e01b14d0d3c5,52,activity,story,42,range,partner,167565,False,activity,43462,agent,0a204918-9aeb-40a5-a9d8-b86893bf6e92,necessary,believe,92,type,331960,False,partner,e71c43c1-53bf-44ba-9696-fcb728b6b92f,also,0.19379285144376135,subject,6417,2023-11-14 04:03:12+00:00,False,cc716b6a-fcbc-4bcf-ae20-eee58e58a0fc,814571,564207,2011,323197,c00eba80-10a5-4247-841f-1b696114f19e,2023-06-20 00:23:15+00:00,799773,253077,951160,0.8076171067910873,wait,quickly,Smartphone,Dell,Alienware m15,morning,58,64-bit,Mozilla/5.0 (Android 1.0; Mobile; rv:31.0) Gecko/31.0 Firefox/31.0,2692d293-69d3-4ef0-b7cf-d2f46fa7a4ad,117295,6480311
5379,stuff,Chrome,1.9.7,Amazon CloudFront,Johnland,Undefined,Uganda,Uganda,33e23aa9-e797-4690-bc6a-e9549ea62216,True,value,security,41.059726442099446,claim,1044,103.81555175297268,0.6500120113670719,0.6094839953399284,2ca500d1-e5cd-45ca-8bf7-0439659f6126,Fedora Linux,5.3.2,508863,nature,https://mysite.net/media/3c06e92a-e916-458b-9f1f-cf2cd6acd02e,71e13e31-cedd-4b12-8449-fc8e910ffc41,29,True,Undefined,perform,between,1209,42cd33c3-40ed-4e16-8442-a629943f329c,else,987655,on,1.2.1,catch,https://testsite.edu/content/88b0d235-e7d6-4f36-92ce-182fc1f6fde4,True,False,human,site,agent,483055,2538,arrive,https://testsite.edu/video/88af6789-b25c-4d49-9fd2-e7cb764ab70b,1148,736283,lead,3403,1483,7af80028-57b5-4af2-a4c6-20da8b771e52,5155,184093,0.0,0.0894572055923254,outside,4d7d22be-69b7-4816-9c6f-b72f31b8776b,68,he,enough,50,director,computer,293188,False,particularly,98034,ok,4379aefd-3de6-439e-9120-db3aea8dedd6,environment,life,55,sound,639231,False,during,b1b2ec3b-f82d-4d8b-8ce7-42d96909094c,region,0.7539623075111729,read,4933,2023-01-23 08:17:23+00:00,True,5cbee2d1-9c55-4901-832d-368f5a67c21e,785914,466127,6356,741991,f92962f3-2eaf-4979-86c5-32ce7517e926,2023-11-23 03:06:13+00:00,467823,872957,987289,0.6809500116491634,cup,before,Laptop,Dell,Alienware m15,step,67,32-bit,Opera/9.30.(X11; Linux x86_64; en-CA) Presto/2.9.190 Version/11.00,73504c97-10de-4c2d-8299-97821f0af8f6,534251,1088419
1732,peace,Firefox,7.8.9,Fastly,West Lee,Undefined,Slovakia (Slovak Republic),Slovakia (Slovak Republic),032f1d98-4cd0-4b6f-8c07-cd1d965452bf,True,yet,table,54.190110417119485,approach,3362,22.893312433534817,0.3018363956876634,0.3669980434815655,108f61bc-ccf4-4bd8-a45d-7f4735b05975,Android 11,2.1.1,783398,answer,https://example.org/media/c1493f74-619e-4a4b-888e-27ceb92e50b4,5dbc3a69-f889-4f3f-96d3-9ebe939329e9,91,False,Undefined,present,could,9340,cfca6264-0794-4a6b-9077-dd7f04c13390,player,383061,college,5.6.1,prevent,https://example.org/content/f4d83b73-0032-4844-a228-9bc463f140f6,True,True,early,produce,effect,884079,6724,world,https://mysite.net/content/26ade0b8-e08c-49f2-ab2f-e9623da157f8,8647,689297,suffer,945,1537,d00d8460-5583-4300-9f48-05977aabc824,8511,99394,0.0,0.43873806548893723,old,35bc4712-277f-4302-a6e4-2c83922cce83,69,others,trade,82,he,author,66849,True,hot,979382,world,f5475919-7da8-4fc1-9dab-567799c7d1ae,six,single,94,eye,147142,True,decision,c8153d8d-0cf9-4ed7-b1f9-085916b17712,among,0.4146382493166838,perform,3202,2023-07-31 01:58:19+00:00,True,25d8ec0f-8c5b-4272-9d5d-401f7900cc5f,206832,192073,8336,581312,77baa182-b40a-4a8b-b3a9-66232cf97122,2023-03-05 10:09:43+00:00,208325,900955,717373,0.35091911506171747,everything,leg,Desktop,Samsung,Galaxy A51,leave,99,ARM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; hu-HU) AppleWebKit/534.37.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6534.37.1",d3db3f0a-7572-461a-bb3c-71c3a9b636db,814497,3373909
2803,character,Chrome,2.8.8,StackPath,South Mariah,Undefined,Honduras,Honduras,78c598ff-ebaa-473f-ac70-2136a5d87f72,True,strategy,either,86.50456972040791,put,740,92.52743699669401,0.1461066391656518,0.12741497675006952,4acbd57f-4813-4b98-92ad-00815e84207c,Ubuntu Linux,6.5.1,335202,list,https://example.org/content/f5403226-5870-45a2-aa24-684c48e49661,617ccff9-b211-47eb-938f-b7551f38d9a6,56,True,Undefined,today,strategy,279,c409aa29-6965-4523-b160-d87d085dfe7e,project,811670,common,3.7.1,marriage,https://example.org/media/898dc849-5c39-486b-bf84-57798d6ba904,True,False,series,hotel,finish,852404,8754,near,https://testsite.edu/assets/715de075-6dfe-47ee-aa4a-a88916eee41d,3875,519323,recently,4335,5650,a16162e8-98c0-4dea-9c6f-7be7f7f66834,3622,1434,0.0,0.6851429752422418,shoulder,b466fafd-ed00-4938-b006-2fbd96b132da,11,newspaper,example,2,thought,again,464914,True,part,687393,off,3d8ccfbc-7902-459c-81ab-5a97ea70735d,try,support,58,would,802386,True,available,176a2aa4-f653-495b-9f1f-065e85e10029,lawyer,0.3057762147345432,back,5956,2023-10-08 11:07:17+00:00,False,529f5aa5-aa92-4be2-88ed-f28ecd3df67b,456539,169200,5914,361998,10be92d1-79fa-4fe7-b4d7-3a4c56a4d859,2023-01-26 17:14:23+00:00,207333,67887,769900,0.6530906726531904,necessary,team,Desktop,Apple,MacBook Pro,wife,97,32-bit,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_6 rv:4.0; nb-NO) AppleWebKit/532.6.4 (KHTML, like Gecko) Version/5.0 Safari/532.6.4",74f22b9d-691a-4551-85ad-de7cd938b8ee,20539,8680585
8323,sell,Safari,5.5.5,StackPath,Tonyamouth,Undefined,Portugal,Portugal,1c20e3d0-9b87-4044-b660-27b030ce33dc,False,concern,rich,-43.7154306639235,tax,4340,-51.73352181218516,0.5917816787679752,0.8670174705063156,c2bbf3b7-8cc2-4c32-b111-9601161bcb11,Fedora Linux,0.7.4,47181,save,https://example.com/content/808d25a6-8413-4496-9f73-7241b49cf36a,6a5f8bd7-6b1d-46b3-8a46-7dfb41eed152,98,False,Undefined,whatever,war,1474,481d1e60-1fed-45de-a298-086efb71ec7d,statement,213706,measure,1.1.2,forward,https://example.com/media/06850956-7dd4-477c-b194-a35a5dd03960,False,True,life,others,fight,242527,9919,people,https://mysite.net/media/1f3fabdc-7373-4c6b-b606-7934fcecfa67,396,706245,these,9413,9699,c848c25c-0e9a-48db-b914-18200da21ac4,9194,958172,0.0,0.46463508077212357,cut,c3e7e2fd-d72c-4363-9d2b-a759bb2609a5,2,today,how,36,stage,people,208910,False,good,786625,now,801b1a78-bcac-4d28-a259-31a2541e3853,maintain,game,68,country,201118,False,rich,7954bf3f-5b7d-4495-af31-260428744974,show,0.9028134997423808,field,982,2023-11-26 21:55:29+00:00,True,084aa88a-acfa-497e-9218-66b66d74efb6,398430,186673,836,938583,489f2058-af2b-48d5-a168-5dde89572a52,2023-03-06 00:55:32+00:00,456624,61678,321730,0.6077402032423341,guess,whether,Smart TV,Sony,PlayStation 5,deep,93,32-bit,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; bhb-IN) AppleWebKit/532.20.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6532.20.5",cb0dc0b3-027c-4282-a10d-b2e77a1afdf6,168856,3628577
2965,attack,Opera,4.9.9,KeyCDN,Port Adam,Undefined,Georgia,Georgia,78d5c425-b8da-47ea-b7b7-509b7d8e8b00,False,specific,daughter,76.9536675180241,still,1411,27.24449587335323,0.42713023053253474,0.744627967555592,049e55c2-3ad0-427b-b29c-c8454aae0357,Android 11,2.4.3,18532,note,https://example.org/content/6518b8cf-e3ce-4338-a2bd-4b8e984f3d9c,54e6e8cd-02b5-45d7-a12d-7ef6699c00e8,38,False,Undefined,figure,true,7635,0811900b-de12-46f0-b2a1-deb158704357,president,319316,role,0.4.1,window,https://example.com/media/172364bf-02fb-4be2-93b9-66a426294033,False,False,another,wide,wear,499816,5956,industry,https://example.org/content/b443faaa-3a7a-427c-8669-8b83b7dfe1be,1476,273636,claim,28,7558,d598ae15-7e37-4f8a-b6fc-cadbd84fe5bc,8137,75526,0.0,0.9528365002284305,strategy,22f1aa51-5582-4e80-b2d3-d37d102f2090,46,news,image,59,easy,strategy,665055,False,southern,62346,seem,86ab91bb-1195-495c-9386-dcc76f00f4b3,movement,respond,48,citizen,813339,False,involve,a6c1d808-5b27-44e1-bee6-5bf5d60eca88,similar,0.643389295339642,billion,1640,2023-09-19 15:26:11+00:00,False,e9ee4815-b0fe-4cb5-8a8b-f6550db20322,896643,414271,8101,159107,f99163a0-4959-4124-9417-d4f8d30fb13c,2023-04-21 22:16:04+00:00,501169,399140,577951,0.9464651345490004,model,wife,Laptop,Apple,MacBook Pro,ground,4,ARM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; es-UY) AppleWebKit/532.2.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.2.3",2929677b-ce46-4a69-87c0-499978cf7319,583796,8375071
6938,weight,Samsung Internet,3.9.7,StackPath,Wyattmouth,Undefined,Brazil,Brazil,4b7ef555-2096-4360-8bb4-fcc3e3f3a2bc,True,moment,character,62.35026560869659,cause,5559,-120.6438470232732,0.5564231378422095,0.9019393598953259,67fce2bd-1121-49c8-a4ad-063d95d79bff,iOS 14,7.7.6,740166,here,https://example.org/content/32c86215-fbd6-49ea-a36f-f2dd72b18584,195b4659-92db-470e-86c7-29e764d4f72f,62,True,Undefined,writer,easy,7668,0c5dd363-4567-4261-add3-87c57d4e6015,natural,331768,draw,5.2.5,former,https://example.com/content/f375999e-5e12-4589-8f0e-8f9ba83b0027,False,False,example,describe,point,315150,8920,check,https://mysite.net/video/0560d3e0-7db3-416a-b4fd-0536b2fe8aaf,5047,455327,attack,923,6940,a494b1f0-c340-4301-a07d-3aa662585234,5602,349493,0.0,0.3367466242303979,meet,b4bc2732-2dcc-477a-b678-d5a855923c22,90,such,miss,64,lay,training,468045,False,star,719355,campaign,56cbad3f-447d-4c6d-8969-1e80a50c0084,some,new,59,discussion,575691,True,technology,359abf7e-409c-4675-9309-6139af942b39,property,0.3470821927218355,eye,4260,2023-04-17 19:53:15+00:00,False,d07be055-3049-4f8a-bf14-74bdfb11f742,515224,407346,5273,848640,4a2ecdcb-59f3-4822-968b-e9e6ce6e7c86,2023-09-03 18:01:48+00:00,865581,141877,742770,0.6344884754252762,possible,career,Laptop,Huawei,Mate 40 Pro,often,61,32-bit,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 10.0; Trident/3.0),1f6be0e8-c72a-4014-8ed3-e2b85cf7e0b0,380777,433327
530,they,Vivaldi,1.4.9,Amazon CloudFront,Mcgeeton,Undefined,Cyprus,Cyprus,7da974c0-f5b6-4322-918c-a5fbac5bc8ac,False,know,type,10.213220895668897,measure,892,105.83589974874553,0.7610102761523437,0.4542687836505491,a4622185-7b64-4583-b82b-c535e70da5fb,Android 10,9.9.6,377382,wind,https://testsite.edu/video/7eab9d0f-eff8-4770-9ae0-9dc1e5ad2bf8,be2ae3b8-712d-4f88-b434-594adc566cef,56,True,Undefined,another,stuff,7215,16fc4359-952d-4cb2-999d-500a9930f191,matter,438760,wide,8.1.8,deep,https://testsite.edu/media/17872e7e-1509-4ddd-84a0-cbd38239e1a9,True,False,sign,hold,water,478191,8293,see,https://example.org/assets/a5181f9a-c37b-440f-ae50-746fc17e54a5,9179,916590,stand,9789,5923,7c311dba-b508-44c8-b7c4-ca520b30a8f9,3001,448867,0.0,0.3337506495245369,score,aed0b59f-4cdf-45d5-af50-a09dbbf63200,91,station,deal,68,bad,always,305909,True,should,476703,peace,509ef2dc-e486-4854-9b59-55a086f902da,chair,matter,5,energy,262819,True,standard,4d679034-1cef-48da-b2a6-c01b5ec2f94f,instead,0.5747019014391029,cause,2773,2023-11-30 06:50:03+00:00,False,e7c4e928-e93a-4fe4-9bdf-bbc24b0e41b3,392885,393294,3454,706520,d9885163-e217-43f6-8ea8-76cbf0d221ac,2023-09-29 09:20:43+00:00,510425,731347,71053,0.06724836617493413,west,campaign,Desktop,Dell,Inspiron 15,no,24,ARM,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/535.23.3 (KHTML, like Gecko) Version/4.0 Safari/535.23.3",f8ef561a-1247-45bf-b040-aaf3b5b38f3e,339237,434761
82,eye,Edge,7.5.5,Microsoft Azure CDN,Williamsfort,Undefined,Vanuatu,Vanuatu,4ef9731b-8dc3-448d-921c-724446f80afa,False,future,hard,-38.02350335259734,million,5383,-19.660137011097447,0.5568336589564934,0.678635144204924,b8ffc13d-d584-4be5-baca-886a1dbe50c7,Windows 10,0.5.5,282198,produce,https://mysite.net/content/376154eb-acbb-45c9-aae5-9792c5ca7e7e,32ce17dc-49cd-47e8-94a1-fd29d6efd9c5,69,False,Undefined,whom,perhaps,7986,5f8ee628-2d40-4aeb-8bfa-131080c68dce,chair,265470,value,4.1.2,sister,https://mysite.net/video/040d7088-dcc6-4594-86b8-5d15b74a3061,False,False,edge,rest,week,145309,7289,pattern,https://mysite.net/content/04b6aa64-f9fc-4afc-afd4-9dc27b388bba,7571,665573,us,3700,6743,136ca0d3-b7d5-43de-b6fc-0d6546a7a179,1552,706401,0.0,0.5963814137301388,receive,04684dd3-df39-4810-a85e-272d68dd1404,95,cultural,career,11,number,show,778672,True,tonight,489397,product,f26b5881-ae50-46e2-97c1-680981f9c2d5,from,nearly,94,book,256445,True,for,7b3133eb-d7f3-4d82-8246-ae94ba5f7fb7,me,0.14932654985623783,would,5391,2023-06-11 05:13:12+00:00,True,503e56b0-6ad4-42d2-baac-9df80215a671,757633,605005,8256,386689,eaae76d4-17a5-450f-aec9-319909d6b253,2023-08-26 17:38:35+00:00,546807,140713,32930,0.6649631844503865,Mrs,manager,Desktop,Google,Chromecast with Google TV,production,17,ARM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5 rv:5.0; mag-IN) AppleWebKit/532.18.5 (KHTML, like Gecko) Version/5.0.5 Safari/532.18.5",46c877d4-1bfd-4fee-8f30-c2bce856cb48,3967,6806111
6458,these,UC Browser,4.8.5,CDN77,West Taylorport,Undefined,Mexico,Mexico,4a795225-c26a-4313-8a8e-7619215e0c15,True,mean,education,38.40515936242247,upon,4618,-74.6929699433974,0.224556203452985,0.5338007166395103,b2c8ac34-5d06-4489-bc02-98cb641cc40f,Android 10,7.0.2,638350,another,https://example.com/content/4b0afd97-dd20-45db-9e7d-3b6907335e0b,0d76488c-045c-47e9-8d7f-c39083e38e1b,3,False,Undefined,challenge,whose,8608,8fc4a4cd-4daa-4ff5-a118-61ee1cef7072,positive,770429,once,4.5.9,third,https://example.com/assets/2319536f-cda8-4b8a-b491-4593f35f424e,True,True,sea,music,home,112691,2680,suddenly,https://example.com/video/0168fa7c-7279-4b73-ae87-fe6cbebbaada,3009,787755,stop,780,3485,679ee75b-5337-4f01-84b3-ed9d195c63de,9921,636529,0.0,0.15555854878941533,indeed,9f010a8f-4514-4666-b462-e7f6903be899,65,assume,political,83,pick,edge,119623,True,probably,672342,house,85f0b8d5-a4e3-461c-b09b-0718b7a57584,put,discuss,100,process,289934,False,population,609e3bb9-7baa-4a3c-a72c-7cbb043c7135,behavior,0.476011368299882,effect,5562,2023-05-26 12:57:14+00:00,False,08b534c6-9249-4d7e-b6fe-0204f63d2b51,615589,234924,5298,208777,688bf9d4-7838-46a0-943f-b46691e13204,2023-08-04 21:24:16+00:00,819331,530479,988655,0.7345374494353744,week,career,Tablet,Apple,iPad Air,add,5,64-bit,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.38.6 (KHTML, like Gecko) Version/4.0.5 Safari/532.38.6",220caf53-1f4d-4d4b-929e-d3569b239dd8,460221,4029813
